SampleID	Phenotype	CYTscore	ImmuneScore	StromalScore	EstimateScore	Purity	qaunTIseq_CD8T	quanTIseq_Treg	quanTIseq_other
SAM75142fcab9df	excluded	218	113	193	145	53	11	235	13
SAM7538ad9ff524	inflamed	69	224	108	91	168	1	11	163
SAM75f12d1a55fc	inflamed	205	135	133	197	10	94	228	1
SAM76a431ba6ce1	inflamed	126	94	224	151	49	60	156	10
SAM771445e92421	inflamed	160	95	135	174	29	127	231	1
SAM7746b76437e6	desert	8	27	22	35	238	1	62	211
SAM7829a341b9f3	inflamed	114	39	101	211	150	44	206	47
SAM7a9093b9c7e9	desert	211	90	134	166	36	13	111	212
SAM7aa01fc49a80	excluded	156	114	235	170	33	113	223	4
SAM7d2dfba6cd84	inflamed	191	151	213	190	14	46	176	1
SAM7d7c54623618	excluded	62	7	106	68	208	1	128	140
SAM7edacb3deb65	desert	71	35	84	58	199	23	9	92
SAM7ee2b6e4d6b3	excluded	65	171	115	60	201	1	31	165
SAM7fb7a13c096b	excluded	100	82	140	103	92	1	175	9
SAM80c6183220e6	inflamed	227	104	168	127	71	114	234	3
SAM822b226466a1	desert	31	20	23	26	233	1	8	170
SAM8533e5e261d6	desert	21	2	29	19	226	1	46	205
SAM85e41e7f33f9	inflamed	233	83	172	113	82	55	178	39
SAM85f0a3ac1c45	excluded	14	8	4	13	221	1	27	160
SAM87a8e18eb45b	excluded	25	192	16	8	218	1	57	191
SAM8884fe446d20	inflamed	147	147	228	191	13	77	166	1
SAM8a1b0e02ee42	desert	34	21	7	21	228	1	49	189
SAM8b4b8b0f9e73	excluded	190	125	142	194	11	107	172	1
SAM8e43e9caf307	excluded	49	4	130	7	217	24	2	176
SAM8e8ef2368dfa	desert	103	63	238	140	58	1	84	30
SAM91c47b054ffb	inflamed	170	212	92	114	167	103	193	99
SAM9306c5c92444	inflamed	166	193	14	56	197	68	155	38
SAM943df5cf15df	desert	214	228	202	97	98	1	125	143
SAM94859b440b1d	excluded	48	169	5	1	212	1	65	136
SAM9539a4f19ebc	desert	28	32	109	62	203	1	63	137
SAM957378bd907f	excluded	237	165	159	198	9	129	215	212
SAM961d04c42bd9	excluded	91	206	63	214	148	47	127	120
SAM9725303dce0c	desert	50	178	9	59	200	1	121	6
SAM978a587b207e	excluded	155	65	234	137	61	66	110	114
SAM97a00e0929fb	excluded	150	202	113	71	179	71	137	111
SAM99a46b9eec27	excluded	186	106	194	141	57	118	237	212
SAM99b1f6a9534e	excluded	60	55	73	44	188	1	20	108
SAM9a2cf3c06fb3	inflamed	184	59	229	133	65	64	185	212
SAM9aa6a095a9d6	excluded	159	66	204	89	105	79	182	15
SAM9b9d48b0b02c	inflamed	125	161	6	64	204	50	162	115
SAM9cafb905b36a	inflamed	207	145	164	155	45	142	171	19
SAM9fb814c22bdb	desert	197	148	151	204	5	57	170	1
SAMa1871f491b02	desert	83	162	46	18	225	18	3	187
SAMa1e62d323e1d	inflamed	176	38	184	74	119	91	165	45
SAMa321770ac31c	excluded	96	187	96	28	174	52	4	177
SAMa913c6139ec8	excluded	154	150	198	180	23	135	187	213
SAMaaf505c36f93	excluded	47	181	52	189	159	1	83	135
SAMab8052a03398	inflamed	198	142	156	212	2	1	142	37
SAMaf42c1541269	inflamed	142	127	211	165	37	100	238	1
SAMaf7578d55754	excluded	129	71	196	119	79	83	47	80
SAMaff272833538	excluded	127	69	201	121	77	1	153	27
SAMb0d11db9aa79	inflamed	235	85	81	245	121	80	145	12
SAMb2f1d0e54ece	desert	149	107	144	186	17	102	140	96
SAMb8070b7937e7	desert	43	184	75	84	169	1	105	103
SAMb8101c538753	inflamed	157	57	138	90	104	29	97	157
SAMb8f13a0525a6	excluded	136	208	166	243	123	143	212	36
SAMb963dda93cfd	excluded	90	41	170	88	106	54	199	109
SAMba1a34b5a060	inflamed	153	74	236	94	101	40	209	46
SAMbc8dc3a7b54e	desert	10	31	45	42	245	1	43	202
SAMbd8ee73983b8	excluded	42	133	189	162	162	1	72	173
SAMbda79f955628	inflamed	146	138	205	176	27	139	39	16
SAMbe83eae4026e	excluded	106	236	38	237	128	3	93	144
SAMbf1a3ae828e6	excluded	165	61	239	139	59	74	244	23
SAMbfdffb97c446	excluded	223	73	186	112	83	109	136	34
SAMc0d625a50eb8	desert	56	245	152	160	40	1	70	107
SAMc0da5d48686d	desert	13	159	94	46	190	1	68	209
SAMc0ef41aa6c8b	desert	16	12	95	70	210	1	53	174
SAMc1251c7bfee2	excluded	121	177	99	10	181	1	132	145
SAMc1b27bc16435	excluded	164	235	79	218	145	120	104	61
SAMc57eadb2d82b	desert	2	16	37	29	235	1	12	198
SAMc6eff056c89a	excluded	131	89	111	98	97	1	55	121
SAMc919aebc7fdd	inflamed	213	123	176	143	55	133	150	213
SAMcabb6d58ff55	inflamed	130	84	25	87	107	56	217	28
SAMcb132b0cdd2c	desert	118	131	199	135	63	27	229	1
SAMcc7a42d87e9c	inflamed	120	190	76	115	166	35	91	159
SAMce39dd79b441	inflamed	73	195	98	199	172	1	58	192
SAMcee0fa8c05b4	excluded	174	205	82	150	163	72	181	54
SAMd027124354ce	desert	104	134	174	221	142	1	35	118
SAMd135d5867fe3	excluded	175	112	141	188	15	33	122	22
SAMd2492b2a31bb	desert	180	70	148	172	31	16	138	55
SAMd35318127278	excluded	238	222	12	45	189	117	143	70
SAMd3601288319e	excluded	234	96	242	109	86	1	221	1
SAMd3bd67996035	excluded	202	144	214	147	51	1	230	1
SAMd43f8933066b	inflamed	229	93	208	142	56	51	191	1
SAMd4c0837b0997	excluded	111	182	88	228	173	65	71	77
SAMd5ab7fbfab4e	excluded	204	110	20	111	84	119	190	1
SAMd636e3461955	inflamed	161	129	158	210	3	21	139	1
SAMd86389d0d768	desert	19	5	11	14	222	1	28	206
SAMd98bac0a070f	desert	66	207	127	230	135	1	161	142
SAMdab9ca8fb5de	excluded	98	210	180	75	118	41	164	98
SAMdad5c29dc105	excluded	44	81	60	3	180	1	42	167
SAMdb3f50c9129c	excluded	45	88	226	148	164	1	51	132
SAMdcae54fcd7fa	excluded	158	92	177	122	76	15	188	11
SAMdf3e42c8672a	inflamed	225	60	72	239	126	88	114	119
SAMe07c4560772d	desert	24	24	24	34	237	1	32	153
