납부자번호,고객명,ID,검침일(시간),주소,용도,설치번호,설비번호,비보정사용량,,,보정사용량,,,보정계수(평균),,,순간유량(평균 임시사용),,
,,,,,,,,당시간,전시간,전일동시간,당시간,전시간,전일동시간,당시간,전시간,전일동시간,당시간,전시간,전일동시간
000209721489,춘의주공APT,10000144,2018-01-26 00,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.3942,1.3927,1.3955,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 01,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.3954,1.3942,1.3979,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 02,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.397,1.3954,1.3993,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 03,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,198,0,178,260,0,237,1.3232,1.397,1.3421,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 04,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,189,198,193,253,260,258,1.3426,1.3232,1.342,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 05,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,67,189,68,90,253,92,1.4011,1.3426,1.3998,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 06,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,67,0,0,90,0,1.4008,1.4011,1.3988,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 07,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.401,1.4008,1.3981,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 08,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.4031,1.401,1.3983,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 09,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,0,0,0,0,0,0,1.4081,1.4031,1.3988,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 10,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,99,0,74,131,0,97,1.3241,1.4081,1.3441,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 11,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,208,99,214,279,131,285,1.3315,1.3241,1.3415,0,0,0
000209721489,춘의주공APT,10000144,2018-01-26 12,경기 부천시 원미구 춘의동 237 춘의주공 101동,중앙난방용,6102695791,635510876,99,208,112,132,279,150,1.4028,1.3315,1.3991,0,0,0
