신장,체중
155,55
165,60
165,80
150,55
180,80
160,65
155,60
165,60
170,95
170,65
170,80
165,70
165,60
180,140
150,45
165,65
175,80
160,40
150,50
155,65
150,50
165,55
155,50
160,55
150,50
145,35
150,55
170,60
150,60
155,55
180,75
155,50
165,70
175,80
170,65
170,60
150,45
165,55
155,50
155,50
155,45
170,70
160,55
170,75
165,50
165,55
160,50
170,90
160,70
155,60
155,55
165,65
185,85
160,45
165,65
160,45
155,55
150,45
150,45
150,55
160,55
150,55
150,45
175,70
170,85
170,80
155,45
180,100
175,65
155,50
155,50
160,50
165,65
150,50
145,50
160,90
155,50
155,70
150,65
170,70
160,50
160,55
155,50
180,80
150,45
170,95
170,70
170,65
155,60
150,55
160,55
170,90
160,60
170,70
160,65
165,55
170,70
160,60
155,60
160,60
150,45
155,50
165,55
160,65
165,70
160,60
150,70
155,50
175,85
165,65
170,75
180,75
150,50
165,60
165,60
160,45
170,75
175,75
175,90
175,60
140,50
155,40
155,60
155,55
170,80
150,50
165,70
165,55
155,50
155,45
165,65
170,60
175,65
180,80
180,105
160,75
150,65
155,55
160,60
170,70
180,105
150,50
155,50
170,80
165,65
145,50
165,70
165,70
170,55
160,45
170,65
165,65
170,70
175,70
155,55
165,60
160,50
175,75
170,75
150,75
170,55
180,80
165,70
155,60
155,65
160,55
160,60
155,45
150,50
165,75
180,80
165,75
165,50
170,75
170,70
160,60
170,70
145,55
150,50
175,65
175,80
155,70
175,55
150,45
180,65
160,55
160,45
175,65
160,70
165,65
170,65
175,65
170,75
180,85
160,75
160,50
150,50
165,75
140,40
155,50
150,55
155,40
155,50
155,55
155,60
170,65
150,60
170,70
180,85
165,75
170,60
155,45
165,50
165,50
160,60
170,70
145,60
160,55
175,75
170,65
165,65
155,55
170,50
160,55
160,60
155,55
170,95
175,60
155,45
160,60
165,60
165,75
165,70
155,55
170,55
150,40
170,85
170,80
165,40
155,50
170,65
155,65
160,50
170,75
170,85
150,45
160,50
160,65
165,70
165,70
155,55
170,65
165,55
165,55
160,60
165,70
160,60
155,45
170,60
175,80
155,75
160,70
160,55
170,60
170,70
165,85
165,70
150,50
170,85
170,70
160,60
155,65
155,55
150,45
155,50
165,45
155,45
155,60
165,60
155,40
170,60
175,55
175,70
145,50
155,60
150,55
170,70
150,60
170,60
165,65
155,55
155,55
175,75
165,70
155,55
175,85
160,65
160,55
165,70
170,75
155,45
150,55
165,75
170,70
180,90
170,65
160,80
160,55
155,50
155,45
165,85
150,50
165,70
165,65
155,50
165,50
165,45
175,70
165,65
170,60
165,70
170,70
160,55
150,55
160,65
155,50
165,60
165,65
175,75
165,55
175,70
165,70
150,65
160,50
160,55
150,45
150,50
170,60
165,60
170,75
165,60
170,65
170,75
150,45
170,85
165,65
170,70
170,75
170,65
160,65
165,55
155,45
175,95
160,50
175,80
170,75
175,80
145,55
175,70
165,60
170,75
160,60
155,75
155,60
155,55
150,55
170,60
160,55
160,45
155,45
170,75
150,55
170,65
160,50
155,50
165,55
160,70
150,55
160,55
165,70
150,45
160,65
180,80
170,75
175,70
175,80
170,80
165,50
165,70
170,70
165,65
155,55
160,45
170,65
170,65
155,55
165,70
165,70
185,70
165,65
165,55
145,50
160,50
155,50
150,50
170,50
165,65
175,75
155,55
150,35
155,60
150,60
155,50
170,70
155,75
160,65
165,45
170,85
170,60
170,80
170,60
160,60
175,95
165,60
155,50
160,55
170,65
145,50
150,50
175,75
170,65
185,80
150,50
170,85
165,65
145,60
165,50
160,65
155,55
170,70
165,70
175,65
155,75
165,80
160,65
165,65
175,75
175,65
175,75
145,40
155,50
160,70
165,70
170,70
150,55
155,40
170,60
165,75
170,65
160,60
175,80
150,55
165,55
175,90
185,85
170,60
175,80
165,55
155,70
145,55
155,40
165,70
180,90
155,60
155,45
170,75
175,75
170,70
175,60
170,60
155,65
165,85
155,60
185,95
160,70
175,95
165,65
175,75
150,75
165,50
160,80
165,50
165,70
160,50
155,55
155,45
155,55
145,45
180,80
165,75
165,55
170,60
165,70
175,70
155,50
155,55
165,60
165,55
165,45
180,80
150,55
160,65
170,80
150,50
160,65
165,60
165,70
145,55
180,75
160,60
160,60
165,60
160,60
145,50
175,75
160,55
150,60
180,65
170,60
170,85
170,60
150,55
150,55
170,70
155,50
175,85
160,60
145,50
160,70
160,50
170,85
150,70
165,80
170,75
155,50
165,60
160,45
160,50
170,75
150,70
135,40
150,55
150,70
165,65
165,45
150,65
155,55
175,95
170,75
150,50
155,65
160,50
160,50
150,45
145,50
160,55
160,55
165,60
145,55
165,55
