납부자번호,고객명,ID,검침일(시간),주소,용도,설치번호,설비번호,비보정사용량,,,보정사용량,,,보정계수(평균),,,순간유량(평균 임시사용),,
,,,,,,,,당시간,전시간,전일동시간,당시간,전시간,전일동시간,당시간,전시간,전일동시간,당시간,전시간,전일동시간
000209722044,오산시민스포츠센타,10000163,2018-06-09 16,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,31,44,46,38,55,58,1.2436,1.2445,1.2468,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 17,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,37,31,41,47,38,51,1.2435,1.2436,1.2462,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 18,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,40,37,38,49,47,47,1.2435,1.2435,1.247,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 19,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,35,40,40,44,49,50,1.2453,1.2435,1.2485,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 20,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,3,35,41,4,44,51,1.2504,1.2453,1.2477,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 21,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,3,41,0,4,51,1.2489,1.2504,1.2529,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 22,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,18,0,0,23,1.2502,1.2489,1.2575,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-09 23,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2523,1.2502,1.2557,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 00,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2533,1.2523,1.254,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 01,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2543,1.2533,1.2533,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 02,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2546,1.2543,1.2537,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 03,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2555,1.2546,1.2548,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 04,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2557,1.2555,1.2569,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 05,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,39,0,0,49,1.2565,1.2557,1.2599,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 06,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,33,0,0,41,1.2575,1.2565,1.2569,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 07,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,44,0,0,56,1.2582,1.2575,1.2557,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 08,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,32,0,48,40,0,60,1.2603,1.2582,1.2544,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 09,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,27,32,50,34,40,63,1.2637,1.2603,1.2504,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 10,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,27,27,49,34,34,61,1.2622,1.2637,1.2518,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 11,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,33,27,47,41,34,59,1.2533,1.2622,1.2487,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 12,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,35,33,34,44,41,42,1.2505,1.2533,1.2471,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 13,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,37,35,37,46,44,46,1.2494,1.2505,1.2477,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 14,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,28,37,44,35,46,55,1.2466,1.2494,1.2463,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 15,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,36,28,44,45,35,55,1.2458,1.2466,1.2445,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 16,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,41,36,31,51,45,38,1.2466,1.2458,1.2436,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 17,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,42,41,37,53,51,47,1.2452,1.2466,1.2435,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 18,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,16,42,40,20,53,49,1.2509,1.2452,1.2435,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 19,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,16,35,0,20,44,1.2491,1.2509,1.2453,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 20,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,3,0,0,4,1.2482,1.2491,1.2504,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 21,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2496,1.2482,1.2489,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 22,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.2514,1.2496,1.2502,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-10 23,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,0,0,0,0,0,0,1.253,1.2514,1.2523,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 00,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,8,0,0,10,0,0,1.2506,1.253,1.2533,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 01,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,46,8,0,57,10,0,1.2536,1.2506,1.2543,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 02,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,33,46,0,41,57,0,1.2591,1.2536,1.2546,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 03,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,30,33,0,38,41,0,1.2587,1.2591,1.2555,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 04,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,30,30,0,37,38,0,1.2543,1.2587,1.2557,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 05,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,42,30,0,53,37,0,1.2579,1.2543,1.2565,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 06,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,42,42,0,52,53,0,1.2581,1.2579,1.2575,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 07,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,64,42,0,80,52,0,1.2484,1.2581,1.2582,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 08,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,63,64,32,79,80,40,1.2482,1.2484,1.2603,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 09,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,59,63,27,73,79,34,1.2454,1.2482,1.2637,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 10,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,67,59,27,84,73,34,1.2468,1.2454,1.2622,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 11,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,56,67,33,69,84,41,1.2447,1.2468,1.2533,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 12,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,59,56,35,74,69,44,1.2444,1.2447,1.2505,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 13,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,60,59,37,74,74,46,1.2447,1.2444,1.2494,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 14,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,52,60,28,65,74,35,1.2432,1.2447,1.2466,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 15,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,45,52,36,56,65,45,1.2434,1.2432,1.2458,0,0,0
000209722044,오산시민스포츠센타,10000163,2018-06-11 16,경기 오산시 오산동 40 오산시민스포츠센타 B2F보일러,영업용 2,6102706229,635841433,54,45,41,67,56,51,1.2442,1.2434,1.2466,0,0,0
